name_old,name_clean,address,city,postal_cod,"address, c",phone,email,field_9,website,Source,Latitude,Longitude
Grain Train Natural Foods Market (Boyne City),Grain  Train  Natural  Foods  Market ( Boyne  City),104  South  Park  Street,,49712,"104  South  Park  Street, , 49712",(231) 459-4522,,,http://www.graintrain.coop,https://www.ncg.coop/,45.3736709,-84.9576745059059
South Royalton Market,South  Royalton  Market,105  Chelsea  Street,,5068,"105  Chelsea  Street, , 05068",802 763-2400,,,Food for change,,43.8201902,-72.522072
PCC Natural Markets - Kirkland,P C C  Natural  Markets -  Kirkland,10718  Northeast 68th  Street,,98033,"10718  Northeast 68th  Street, , 98033",425 828-4622,,,Food for change,,47.4610256,-122.33217
Marquette Food Co-op,Marquette  Food  Co-op,109  West  Baraga  Avenue,,49855,"109  West  Baraga  Avenue, , 49855",906 225-0671,,,Food for change,,46.54505985,-87.4026538423802
Everybody's Market,Everybody's  Market,11 1st  Street,,56347,"11 1st  Street, , 56347",320 732-3900,,,Food for change,,37.56846735,-122.315819435969
Healthy Foods Co-op,Healthy  Foods  Co-op,110  West  Washington  Street,,24450,"110  West  Washington  Street, , 24450",540 463-6954,,,Food for change,,39.232489,-84.546823
Three Rivers Market,Three  Rivers  Market,1100  North  Central  Street,,37917,"1100  North  Central  Street, , 37917",(865) 525-2069,customerservice@threeriversmarket.coop,,http://www.threeriversmarket.coop,https://www.ncg.coop/,36.4394893,-118.9049965
New Pioneer Co-op (Coralville),New  Pioneer  Co-op ( Coralville),1101 2nd  Street,,52241,"1101 2nd  Street, , 52241",(319) 358-5513,newpi@newpi.coop,,http://www.newpi.coop,https://www.ncg.coop/,39.578627,-107.526427
DurhamCo-opMarket,Durham Co-op Market,1111 West Chapel Hill St.,,27701,"1111 West Chapel Hill St., , 27701",919.973.1707,http://www.durham.coop,,https://www.nationalco-opdirectory.com,,,
Just Local Food Cooperative,Just  Local  Food  Cooperative,1117  South  Farwell  Street,,54701,"1117  South  Farwell  Street, , 54701",715 552-3366,,,Food for change,,44.80494735,-91.4917859818237
Menomonie Market Food Co-op (Eau Claire),Menomonie  Market  Food  Co-op ( Eau  Claire),1117  South  Farwell  Street,,54701,"1117  South  Farwell  Street, , 54701",(715) 552-3366,info@mmfc.coop,,http://www.mmfc.coop/,https://www.ncg.coop/,44.818165,-91.475952
Everybody'sMarket,Everybody's Market,11 1st Street North,Minnesota,56347,"11 1st Street North, Minnesota, 56347",320-732-3900,https://everybodysmarket.weebly.com/,,https://www.nationalco-opdirectory.com,,,
Natural Abundance Food Co-op,Natural  Abundance  Food  Co-op,112  North  Main  Street,,57401,"112  North  Main  Street, , 57401",(605) 229-4947,natabu@nvc.net,,http://www.naturalabundance.org/,https://www.ncg.coop/,43.144322,-77.605352
PCC Community Markets (Redmond),P C C  Community  Markets ( Redmond),11435  Avondale  Road  N E,,98052,"11435  Avondale  Road  N E, , 98052",(425) 285-1400,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.6757093,-122.2000589
Northwind Natural Foods Co-op,Northwind  Natural  Foods  Co-op,116  South  Suffolk  Street,,49938,"116  South  Suffolk  Street, , 49938",906 932-3547,,,Food for change,,46.45497305,-90.1684858938033
PCC Community Markets (Bellevue),P C C  Community  Markets ( Bellevue),11615  N E 4th  Street,,98004,"11615  N E 4th  Street, , 98004",(206) 547-1222,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.6126036,-122.1849884
Bloomingfoods Market & Deli,Bloomingfoods  Market &  Deli,117  South  Gentry  Street,Bloomington,47404,"117  South  Gentry  Street,  Bloomington, 47404",812 339-4442,http://www.bloomingfoods.coop,,Food for change,,39.16791165,-86.5371590750624
Big Hollow Food Co-op,Big  Hollow  Food  Co-op,119  South 1st  Street,Laramie,82070,"119  South 1st  Street,  Laramie, 82070",307 745-3586,http://www.laramiecoop.com,,Food for change,,41.31251775,-105.595166682096
Co-op Food Store: Lebanon,Co-op  Food  Store:  Lebanon,12  Centerra  Parkway,Lebanon,3766,"12  Centerra  Parkway,  Lebanon, 03766",603 643-4889,,,Food for change,https://www.ncg.coop/,40.36095,-76.483514
HanoverCo-opFoodStore(4FoodStores•1AutoServiceCenter)•LebanonCo-opFoodStore,Hanover Co-op Food Store(4 Food Stores•1 Auto Service Center)• Lebanon Co-op Food Store,12 Centerra Parkway,,3766,"12 Centerra Parkway, , 03766",(603)643-4889,http://www.coopfoodstore.coop,,https://www.nationalco-opdirectory.com,,,
Idaho's Bounty,Idaho's  Bounty,120  E 46th  St,,83714,"120  E 46th  St, , 83714",208 577-6199,,,Food for change,,43.492926,-112.043446
Greenbelt Co-op Supermarket and Pharmacy,Greenbelt  Co-op  Supermarket and  Pharmacy,121  Centerway,,20770,"121  Centerway, , 20770",(301) 474-0522,,,https://www.greenbelt.coop/,https://www.ncg.coop/,39.00183715,-76.8762288869348
Moscow Food Co-op,Moscow  Food  Co-op,121  East 5th  Street,,83843,"121  East 5th  Street, , 83843",(208) 882-8537,,,http://www.moscowfood.coop,https://www.ncg.coop/,46.7304954,-117.00038279244
Bluff Country Co-op,Bluff  Country  Co-op,121  West 2nd  Street,Winona,55987,"121  West 2nd  Street,  Winona, 55987",(507) 452-1815,bccoop@bluff.coop,,http://www.bluff.coop,https://www.ncg.coop/,41.239106,-95.864271
GreenbeltCo-opSupermarket&Pharmacy,Greenbelt Co-op Supermarket& Pharmacy,121 Centerway,,20770,"121 Centerway, , 20770",301-474-0522,http://www.greenbelt.coop,,https://www.nationalco-opdirectory.com,,,
Community Food Co-op - Bellingham (Forest),Community  Food  Co-op -  Bellingham ( Forest),1220  North  Forest  Street,Bellingham,98225,"1220  North  Forest  Street,  Bellingham, 98225",(360) 734-8158,info@communityfood.coop,,http://www.communityfood.coop,https://www.ncg.coop/,48.747263,-122.476146
Belfast Community Co-op,Belfast  Community  Co-op,123  High  Street,Belfast,4915,"123  High  Street,  Belfast, 04915",(207) 338-2532,,,http://www.belfast.coop,https://www.ncg.coop/,44.426275,-69.027465
Purple Porch Co-op,Purple  Porch  Co-op,123  N  Hill  St,,46617,"123  N  Hill  St, , 46617",574 287-6724,,,Food for change,,41.67720915,-86.2431429110974
New Leaf Market & Deli,New  Leaf  Market &  Deli,1235  Apalachee  Parkway,,32301,"1235  Apalachee  Parkway, , 32301",850 942-2557,,,Food for change,,36.978451,-121.9004238
CommunityCo-opMarket,Community Co-op Market,1235 Apalachee Parkway,Tallahassee,32301,"1235 Apalachee Parkway,  Tallahassee, 32301",(850)399-2667,http://www.communitycoopmarket.coop,,https://www.nationalco-opdirectory.com,,,
Natural Abundance,Natural  Abundance,125  South  Main  Street,,57401,"125  South  Main  Street, , 57401",605 229-4947,,,Food for change,,40.7843651,-77.9040762
Spiral Food Co-op,Spiral  Food  Co-op,1250  South  Frontage  Road,,55033,"1250  South  Frontage  Road, , 55033",(651) 437-2667,,,http://www.spiral.coop,https://www.ncg.coop/,39.7459871,-105.0816316
Whole Earth Market Co-op,Whole  Earth  Market  Co-op,126  South  Main  Street,,54022,"126  South  Main  Street, , 54022",(715) 425-7971,,,http://www.wemarket.coop,https://www.ncg.coop/,40.025881,-105.281031
FiddleheadsNaturalFoodsCooperative,Fiddleheads Natural Foods Cooperative,13 Broad Street,,6320,"13 Broad Street, , 06320",860-701-9123,http://www.fiddleheadsfood.coop,,https://www.nationalco-opdirectory.com,,,
Mountain View Market Co-op,Mountain  View  Market  Co-op,1300  El  Paseo  Road,,88001,"1300  El  Paseo  Road, , 88001",575 523-0436,,,Food for change,,32.2965773,-106.772979170878
Adamant Co-op Inc.,Adamant  Co-op  Inc.,1313  Haggett  Road,Adamant,5640,"1313  Haggett  Road,  Adamant, 05640",802 223-5760,,,Food for change,,44.32922,-72.50289
Roanoke Co+op (Grandin Road),Roanoke  Co+op ( Grandin  Road),1319  Grandin  Road  S. W.,,24015,"1319  Grandin  Road  S. W., , 24015",(540) 343-5652,,,http://www.roanokenaturalfoods.coop,https://www.ncg.coop/,39.120777,-84.430786
PCC Community Markets (Downtown),P C C  Community  Markets ( Downtown),1320 4th  Avenue,,98101,"1320 4th  Avenue, , 98101",(206) 547-1222,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.6757093,-122.2000589
Whole Foods Co-op Association,Whole  Foods  Co-op  Association,1341  West 26th  St.,,16508,"1341  West 26th  St., , 16508",814 456-0282,,,Food for change,,40.025881,-105.281031
Erie Food Co-op (26th Street),Erie  Food  Co-op (26th  Street),1341  West 26th  Street,,16508,"1341  West 26th  Street, , 16508",(814) 456-0282,,,http://www.eriefood.coop,https://www.ncg.coop/,36.442515,-99.412271
Valley Natural Foods,Valley  Natural  Foods,13750  County  Road 11,,55337,"13750  County  Road 11, , 55337",(952) 891-1212,,,http://www.valleynaturalfoods.com,https://www.ncg.coop/,42.8231652,-86.0911741
Orcas Food Co-op,Orcas  Food  Co-op,"138- B  North  Beach  Rd, #913",,98245,"138- B  North  Beach  Rd, #913, , 98245",(360) 376-2009,,,http://www.orcasfood.coop,https://www.ncg.coop/,48.6955836,-122.906089
Fresh Connections Co-op,Fresh  Connections  Co-op,14  East  State  Street,,50511,"14  East  State  Street, , 50511",515 395-2667,,,Food for change,,39.88619,-104.871294
Local Roots Market & Cafe,Local  Roots  Market &  Cafe,140  S  Walnut  St.,,44691,"140  S  Walnut  St., , 44691",330 263-5336,,,Food for change,,40.2108464,-75.2776293
Mountain People's Co-op Inc.,Mountain  People's  Co-op  Inc.,1400  University  Avenue,,26505,"1400  University  Avenue, , 26505",304 291-6131,,,Food for change,,39.473067,-106.202102
FlatbushFoodCooperative,Flatbush Food Cooperative,1415 Cortelyou Rd.,,11226,"1415 Cortelyou Rd., , 11226",718-284-9717,http://www.flatbushfood.coop,,https://www.nationalco-opdirectory.com,,,
Mandela Foods Cooperative,Mandela  Foods  Cooperative,1430 7th  Street,,94607,"1430 7th  Street, , 94607",510 452-1133,,,Food for change,,37.8052912,-122.294088
Green Fields Market,Green  Fields  Market,144  Main  Street,,1301,"144  Main  Street, , 01301",413 773-9567,,,Food for change,,42.5878999,-72.6038739
FranklinCommunityMarket(2stores)•GreenFieldsCo-opMarket,Franklin Community Market(2stores)• Green Fields Co-op Market,144 Main Street,,1301,"144 Main Street, , 01301",413-773-9567,http://www.franklincommunity.coop,,https://www.nationalco-opdirectory.com,,,
Wintergreen Natural Foods,Wintergreen  Natural  Foods,1442  West  Main  Street,,56007,"1442  West  Main  Street, , 56007",507 373-0386,,,Food for change,,41.3336161,-72.9555604
Phoenix Earth Food Co-op,Phoenix  Earth  Food  Co-op,1447  W.  Sylvania  Ave.,,43612,"1447  W.  Sylvania  Ave., , 43612",(419) 476-3211,phoenixearthfoodmarketing@gmail.com,,http://www.phoenixearthfoodco-op.com,https://www.ncg.coop/,33.60503,-112.070892
"Toledo Natural Food Co-op ""Phoenix""","Toledo  Natural  Food  Co-op "" Phoenix""",1447  West  Sylvania  Avenue,,43612,"1447  West  Sylvania  Avenue, , 43612",419 476-3211,,,Food for change,,41.673729,-83.563577
PCC Community Markets (Ballard),P C C  Community  Markets ( Ballard),1451  N W 46th  Street,,98107,"1451  N W 46th  Street, , 98107",(206) 547-1222,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.6757093,-122.2000589
Hendersonville Community Co-op (Sunflower Kitchen),Hendersonville  Community  Co-op ( Sunflower  Kitchen),147  First  Avenue  East,,28792,"147  First  Avenue  East, , 28792",N/A,,,http://www.hendersonville.coop,https://www.ncg.coop/,36.297969,-86.604505
Island City Food Co-op Bakery,Island  City  Food  Co-op  Bakery,1490 2nd  Avenue,,54829,"1490 2nd  Avenue, , 54829",715 822-8233,,,Food for change,,,
Chatham Real Food Co-op,Chatham  Real  Food  Co-op,15  Church  St.,Chatham,12037,"15  Church  St.,  Chatham, 12037",518-392-3353,,,Food for change,,39.67616,-89.70454
Missoula Community Food Co-op,Missoula  Community  Food  Co-op,1500  Burns  Street,,59802,"1500  Burns  Street, , 59802",406 728-2369,,,Food for change,,46.872265,-114.023002
Alberta Cooperative Grocery,Alberta  Cooperative  Grocery,1500  N. E.  Alberta  Street,Portland,97211,"1500  N. E.  Alberta  Street,  Portland, 97211",(503) 287-4333,info@albertagrocery.coop,,http://www.albertagrocery.coop/,https://www.ncg.coop/,45.5589415,-122.649533546766
Mississippi Market (West 7th Street),Mississippi  Market ( West 7th  Street),1500  West 7th  Street,,55102,"1500  West 7th  Street, , 55102",(651) 690-0507,,,http://www.msmarket.coop,https://www.ncg.coop/,36.751687,-98.358612
Kent Natural Foods Co-op,Kent  Natural  Foods  Co-op,151  East  Main  Street,,44240,"151  East  Main  Street, , 44240",330 673-2878,,,Food for change,,41.1539308,-81.3571175
Co-opportunity Market (Santa Monica),Co-opportunity  Market ( Santa  Monica),1525  Broadway,Santa  Monica,90404,"1525  Broadway,  Santa  Monica, 90404",(323) 990-7020,service@coopportunity.com,,http://www.coopportunity.com,https://www.ncg.coop/,34.0283423,-118.3858088
Plainfield Cooperative Inc,Plainfield  Cooperative  Inc,153  Main  Street,,5667,"153  Main  Street, , 05667",802-454-8579,,,Food for change,,41.635821,-88.234438
Oshkosh Food Co-op,Oshkosh  Food  Co-op,155  Jackson  Street,,54901,"155  Jackson  Street, , 54901",(920) 312-7220,,,http://www.oshkoshfoodcoop.com,https://www.ncg.coop/,44.0182039,-88.5430079
ColumbusFoodCo-op(CLOSED),Columbus Food Co-op( C L O S E D),1580 Central Ave,Columbus,47202,"1580 Central Ave,  Columbus, 47202",812-343-3588,http://www.columbusmarket.coop,,https://www.nationalco-opdirectory.com,,,
PCC Community Markets (Burien),P C C  Community  Markets ( Burien),"15840  First  Avenue,  S",,98148,"15840  First  Avenue,  S, , 98148",(206) 268-0270,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.4610256,-122.33217
Oceana Natural Foods Co-op,Oceana  Natural  Foods  Co-op,159  Southeast 2nd  Street,,97365,"159  Southeast 2nd  Street, , 97365",541 265-8285,,,Food for change,,36.84209,-76.01299
Central Co-op,Central  Co-op,1600  E  Madison  St,Seattle,98122,"1600  E  Madison  St,  Seattle, 98122",206 329-1545,,,Food for change,,47.61548605,-122.311030510017
The Market Community Co-op,The  Market  Community  Co-op,1610  Hill  Avenue,,51360,"1610  Hill  Avenue, , 51360",712 336-2520,,,Food for change,,39.94116,-104.845545
3 Rivers Natural Grocery,3  Rivers  Natural  Grocery,1612  Sherman  Blvd.,Ft.  Wayne,46808,"1612  Sherman  Blvd.,  Ft.  Wayne, 46808",(260) 424-8812,,,http://www.3riversfood.coop/,https://www.ncg.coop/,41.089266,-85.1532
People's Grocery Cooperative,People's  Grocery  Cooperative,1620  Fort  Riley  Blvd,,66502,"1620  Fort  Riley  Blvd, , 66502",785 539-4811,,,Food for change,,35.119371,-90.038568
HarvestMoonNaturalFoodsCooperativeInc.,Harvest Moon Natural Foods Cooperative Inc.,16579 W151st St,,66062,"16579 W151st St, , 66062",(913)782-7562,https://harvestmoonnaturalfoods.com/,,https://www.nationalco-opdirectory.com,,,
Lexington Cooperative Market (Hertel),Lexington  Cooperative  Market ( Hertel),1678  Hertel  Avenue,,14216,"1678  Hertel  Avenue, , 14216",(716) 886-0024,,,http://www.lexington.coop,https://www.ncg.coop/,39.2743372,-77.640383864691
Sunsets West Coop,Sunsets  West  Coop,16795  Hwy 112,,98326,"16795  Hwy 112, , 98326",360.963.2189,,,Food for change,,48.2542197,-124.2598772
Basics Co-op,Basics  Co-op,1711  Lodge  Drive,Janesville,53545,"1711  Lodge  Drive,  Janesville, 53545",608 754-3925,,,Food for change,,45.478081,-122.695628
Rainbow Grocery Cooperative Inc,Rainbow  Grocery  Cooperative  Inc,1745  Folsom  St,,94103,"1745  Folsom  St, , 94103",415 863-0620,,,Food for change,,33.919746,-86.126819
Lakewinds Natural Foods,Lakewinds  Natural  Foods,17501  Minnetonka  Blvd.,,55345,"17501  Minnetonka  Blvd., , 55345",952 473-0292,,,Food for change,,44.9413083,-93.5007322
HubCityCo-operative(CLOSED),Hub City Co-operative( C L O S E D),176 N. Liberty Street,,29306,"176 N. Liberty Street, , 29306",N/A,http://www.hubcity.coop,,https://www.nationalco-opdirectory.com,,,
Greene Hill Food Co-op,Greene  Hill  Food  Co-op,18  Putnam  Avenue,,11238,"18  Putnam  Avenue, , 11238",718 208-4778,,,Food for change,,40.681907,-73.9583354537984
Leverett Village Co-op,Leverett  Village  Co-op,180  Rattlesnake  Gutter  Road,,1054,"180  Rattlesnake  Gutter  Road, , 01054",413 367-9794,,,Food for change,,35.300115,-99.633862
PCC Community Markets (Issaquah),P C C  Community  Markets ( Issaquah),1810 12th  Ave.  N W,,98027,"1810 12th  Ave.  N W, , 98027",(425) 369-1222,,,http://www.pccmarkets.com,https://www.ncg.coop/,47.5513499,-122.056342
Neighborhood Co-op Grocery,Neighborhood  Co-op  Grocery,1815  West  Main  Street,,62901,"1815  West  Main  Street, , 62901",(618) 529-3533,info@neighborhood.coop,,http://www.neighborhood.coop,https://www.ncg.coop/,40.525555,-105.105637
Community Market Natural Foods,Community  Market  Natural  Foods,1899  Mendocino  Avenue,Santa  Rosa,95401,"1899  Mendocino  Avenue,  Santa  Rosa, 95401",707 546-1806,,,Food for change,,33.4131371,-111.823463500873
Grass Roots Cooperative,Grass  Roots  Cooperative,1917 2nd  Ave,,55303,"1917 2nd  Ave, , 55303",763 427-4340,,,Food for change,,42.25087,-84.21301
Upper Valley Food Co-op,Upper  Valley  Food  Co-op,193  N.  Main  St.,,5001,"193  N.  Main  St., , 05001",(802) 295-5804,,,http://www.uppervalleyfood.coop,https://www.ncg.coop/,43.6503263,-72.3219346
Pine River Food Co-Op,Pine  River  Food  Co- Op,196  West  Court  Street,,53581,"196  West  Court  Street, , 53581",608 647-7299,,,Food for change,,43.33572005,-90.3864427626594
Coos Head Food Store,Coos  Head  Food  Store,1960  Sherman  Avenue,North  Bend,97459,"1960  Sherman  Avenue,  North  Bend, 97459",541 756-7264,,,Food for change,,43.343864,-124.338671
BushwickFoodCooperative(Closed),Bushwick Food Cooperative( Closed),2 Porter Ave.,Brooklyn,11237,"2 Porter Ave.,  Brooklyn, 11237",347-450-1087,http://www.bushwickfoodcoop.org,,https://www.nationalco-opdirectory.com,,,
Cook County Whole Foods Co-op,Cook  County  Whole  Foods  Co-op,20  East  First  Street,Grand  Marais,55604,"20  East  First  Street,  Grand  Marais, 55604",(218) 387-2503,info@cookcounty.coop,,http://www.cookcounty.coop,https://www.ncg.coop/,47.7503957,-90.3320957
Community Market,Community  Market,200  Crestview  Road,Columbus,43202,"200  Crestview  Road,  Columbus, 43202",614 261-3663,,,Food for change,,33.4131371,-111.823463500873
BloomingfoodsMarket&Deli(3Stores&Office)•IvyTechLocation,Bloomingfoods Market& Deli(3 Stores& Office)• Ivy Tech Location,200 Daniels Way,Bloomington,47404,"200 Daniels Way,  Bloomington, 47404",812-822-0143,http://www.bloomingfoods.coop,,https://www.nationalco-opdirectory.com,,,
Baker Food Coop,Baker  Food  Coop,2008  B Road way  Street,Baker  City,97814,"2008  B Road way  Street,  Baker  City, 97814",541 523-6281,http://www.bakerfoodcoop.org,,Food for change,,44.77432,-117.831987
Takoma Park-Silver Spring Food,Takoma  Park- Silver  Spring  Food,201  Ethan  Allen  Avenue,,20912,"201  Ethan  Allen  Avenue, , 20912",301 891-2667,,,Food for change,,38.97768405,-77.0059114743653
Skagit Valley Food Co-op,Skagit  Valley  Food  Co-op,202  South  First  Street,,98273,"202  South  First  Street, , 98273",(360) 336-9777,info@skagitfoodcoop.com,,http://www.skagitfoodcoop.com,https://www.ncg.coop/,48.42086755,-122.33672988311
South Philly Food Co-op,South  Philly  Food  Co-op,2031  South  Juniper  Street,,19148,"2031  South  Juniper  Street, , 19148",(215) 920-1100,,,http://www.southphillyfood.coop,https://www.ncg.coop/,39.9385765,-75.1497724
City Market/Onion River Co-op (South End),City  Market/ Onion  River  Co-op ( South  End),207  Flynn  Avenue,Burlington,5401,"207  Flynn  Avenue,  Burlington, 05401",(802) 540-6400,,,http://www.citymarket.coop,https://www.ncg.coop/,38.553138,-106.92574
South Suburban Food Co-op Inc,South  Suburban  Food  Co-op  Inc,208  Forest  Boulevard,,60466,"208  Forest  Boulevard, , 60466",708 747-2256,,,Food for change,,39.571661,-104.936645
Kickapoo Exchange Natural Food,Kickapoo  Exchange  Natural  Food,209  Main  Street,,54631,"209  Main  Street, , 54631",608 735-4544,,,Food for change,,40.79004,-89.75121
Co-op Food Store: White River Junction,Co-op  Food  Store:  White  River  Junction,209  Maple  Street,White  River  Junction,5001,"209  Maple  Street,  White  River  Junction, 05001",802 295-3400,,,Food for change,,43.652166,-72.318179
Hanover Co-op Food Stores (White River Junction),Hanover  Co-op  Food  Stores ( White  River  Junction),209  Maple  Street,,5001,"209  Maple  Street, , 05001",(802) 295-3400,,,http://www.coopfoodstore.com,https://www.ncg.coop/,43.652166,-72.318179
Newark Natural Foods Co-op,Newark  Natural  Foods  Co-op,209  Newark  Shopping  Center,,19711,"209  Newark  Shopping  Center, , 19711",(302) 368-5894,,,http://www.newarknaturalfoods.com/,https://www.ncg.coop/,40.718619,-74.185148
"HanoverCo-opFoodStore(4FoodStores•1AutoServiceCenter)•Co-opFoodStoreofWhiteRiverJunction,VT","Hanover Co-op Food Store(4 Food Stores•1 Auto Service Center)• Co-op Food Storeof White River Junction, V T",209 Maple Street( Route4&14),,5001,"209 Maple Street( Route4&14), , 05001",802-295-3400,http://www.coopfoodstore.coop,,https://www.nationalco-opdirectory.com,,,
Okanogan River Natural Foods,Okanogan  River  Natural  Foods,21  West 4th  Street,,98855,"21  West 4th  Street, , 98855",509 486-4188,,,Food for change,,48.413391,-119.47253
Wedge Co-op (Lyndale),Wedge  Co-op ( Lyndale),2105  Lyndale  Avenue  S,,55405,"2105  Lyndale  Avenue  S, , 55405",(612) 871-3993,,,http://www.wedge.coop,https://www.ncg.coop/,38.092359,-103.349696
Greentree Natural Grocery,Greentree  Natural  Grocery,214  North  Franklin  Street,,48858,"214  North  Franklin  Street, , 48858",989 772-3221,,,Food for change,,40.230598,-74.297803
